What is your current class standing?,Are you stressed about finding a job for after graduation?
Junior,"Yes, very stressed"
Junior,"Yes, very stressed"
Senior,"Yes, somewhat stressed"
Senior,"Yes, very stressed"
Junior,"Yes, somewhat stressed"
Senior,"No, not stressed"
Junior,"Yes, somewhat stressed"
Sophomore,"Yes, somewhat stressed"
Junior,"Yes, very stressed"
Junior,"Yes, somewhat stressed"
Junior,"Yes, somewhat stressed"
5th year,"No, not stressed"
Junior,"Yes, very stressed"
Junior,"No, not stressed"
Senior,"Yes, somewhat stressed"
Senior,"Yes, very stressed"
Senior,"Yes, very stressed"
Junior,"Yes, somewhat stressed"
Alumni,"Yes, very stressful"
Alumni,"Yes, somewhat stressful"
Alumni,"Yes, somewhat stressful"
Alumni,"No, not stressful"
Alumni,"Yes, very stressful"
Alumni,"Yes, somewhat stressful"
Alumni,"No, not stressful"
Alumni,"Yes, very stressful"
Alumni,"No, not stressful"
Alumni,"Yes, somewhat stressful"
Alumni,"Yes, somewhat stressful"
Alumni,"Yes, very stressful"
Alumni,"Yes, somewhat stressful"
Alumni,"No, not stressful"
Alumni,"Yes, somewhat stressful"
